"estimator","time","coef","se"
"TWFE",-6,-0.0607301475944214,0.0724314671763443
"TWFE",-5,-0.0794540487375185,0.0537255055606393
"TWFE",-4,-0.0792732535892219,0.072103364954948
"TWFE",-3,-0.0633772349693279,0.0667184584194594
"TWFE",-2,-0.0369473771386513,0.0304749264913985
"TWFE",-1,0,0
"TWFE",0,-0.111904855082189,0.0518331375779638
"TWFE",1,-0.184191957579607,0.0622067702354925
"TWFE",2,-0.170841802525855,0.065121180392875
"TWFE",3,-0.219954375051788,0.0541745611714807
"TWFE",4,-0.323177403162751,0.0699070479629216
"TWFE",5,-0.18524752514942,0.0513955922565951
"SA",-6,0.0319013705084878,0.0733097852650406
"SA",-5,-0.0362665505235788,0.0766526001038902
"SA",-4,-0.0244965561164556,0.0673910649111468
"SA",-3,-0.0135186343459188,0.0568699317024222
"SA",-2,-0.0158585606091328,0.0236107896322473
"SA",0,-0.100408647465305,0.0293909538923109
"SA",1,-0.187986589729932,0.0375147013606586
"SA",2,-0.184426423368627,0.0583833837760251
"SA",3,-0.212750745006478,0.0621089434604706
"SA",4,-0.275015070819021,0.0392490271010241
"SA",5,-0.218847008427987,0.0518176199044934
"Gardner",-6,-0.000908343820528566,0.0263014160390148
"Gardner",-5,-0.0338580466612487,0.0343011914105707
"Gardner",-4,-0.000856214610391542,0.0485750919026454
"Gardner",-3,-0.00107548568016886,0.0265577086721682
"Gardner",-2,0.000819797231717531,0.0311829320769419
"Gardner",0,-0.078018701719311,0.0548522018158327
"Gardner",1,-0.167054316461475,0.0485610796446176
"Gardner",2,-0.119732767419725,0.0951993023521148
"Gardner",3,-0.12283110857791,0.0425288778397605
"Gardner",4,-0.202324291375792,0.073718551524283
"Gardner",5,-0.142959247806358,0.054147111514301
