"estimator","time","coef","se"
"TWFE",-8,-14.592853782202,6.25721694921305
"TWFE",-7,-4.27212270349332,8.71013581770459
"TWFE",-6,-31.149052431453,15.1175202510406
"TWFE",-5,-34.5905219575631,11.3618322992095
"TWFE",-4,-14.8358252257627,20.6021365356713
"TWFE",-3,10.8298059621523,17.2718036294483
"TWFE",-2,-21.0214387784724,15.5248639165595
"TWFE",-1,0,0
"TWFE",0,-11.6463691468211,10.9494368842657
"TWFE",1,-16.6193285347608,15.7093243063457
"TWFE",2,-18.8994050954948,10.462755942834
"TWFE",3,1.70062184407888,23.1490942202205
"TWFE",4,-15.4042439943088,14.8973463235702
"TWFE",5,-18.1085535861111,12.9061850613004
"TWFE",6,0.258422253935833,9.21154065769803
"TWFE",7,-9.66767632169464,6.77186902746193
"CS-NT",-8,-34.168566885845,7.49388345066692
"CS-NT",-7,-17.594856886174,7.77717850105839
"CS-NT",-6,-32.64359877056,11.5706904933859
"CS-NT",-5,-34.2772652094493,8.73050558723721
"CS-NT",-4,10.81850362587,10.802968921259
"CS-NT",-3,14.7833267773088,11.1995435059622
"CS-NT",-2,-27.9300609041032,7.18294480636597
"CS-NT",-1,0,NA
"CS-NT",0,-13.2213660715257,10.8398548075722
"CS-NT",1,-13.7296940694032,10.3354026965666
"CS-NT",2,-28.2940958050287,6.98057828506909
"CS-NT",3,15.9480691039913,8.89498453410094
"CS-NT",4,-11.6061248418823,13.204689865169
"CS-NT",5,-34.2242340821052,11.3952304509163
"CS-NT",6,-0.291206847469992,9.77254286557637
"CS-NT",7,10.5763378051029,8.91642068805519
"SA",-8,-38.4700681178058,6.18750199188114
"SA",-7,-16.6159486023755,6.113928873375
"SA",-6,-29.25944466329,6.96415211839963
"SA",-5,-35.6586804180954,7.80431291188789
"SA",-4,-11.2749703431489,11.4892239821577
"SA",-3,14.839371860639,10.5993700870777
"SA",-2,-29.2638904271332,6.01371312208811
"SA",0,-8.96933293307175,11.5996562647543
"SA",1,-14.5840206784733,8.42932148375388
"SA",2,-34.3270176337753,5.90338058807877
"SA",3,9.81618944473409,6.36552297068563
"SA",4,-4.9222424174465,15.9910219988674
"SA",5,-33.3039066445155,12.105434717605
"SA",6,-2.28796393160559,10.9947994561833
"SA",7,3.60418351118277,6.34000221026841
"Gardner",-8,0.0205029318775794,0.193498723840584
"Gardner",-7,-0.268519490931371,7.92937769794395
"Gardner",-6,-11.5481112810288,11.9932394216175
"Gardner",-5,-22.8459546216963,9.42477569885897
"Gardner",-4,5.41397594581067,19.7641337278933
"Gardner",-3,25.1345931648834,14.8207639112146
"Gardner",-2,-14.577110281143,11.2214532881562
"Gardner",0,4.39311073641587,11.4091247713806
"Gardner",1,12.4358201051328,14.0319618759981
"Gardner",2,-13.10029567634,9.83510854923488
"Gardner",3,26.190631595661,22.8427762274962
"Gardner",4,8.16951467737766,18.0418106441667
"Gardner",5,-16.2844063139673,11.3973117065482
"Gardner",6,9.99301342521773,11.5218477490057
"Gardner",7,1.08413547776642,1.86134541624096
