"estimator","time","coef","se"
"TWFE",-6,-0.0550563552294396,0.158001740777423
"TWFE",-5,-0.292056067741695,0.296151511361791
"TWFE",-4,-0.297665667113625,0.316832089703648
"TWFE",-3,-0.425159277781852,0.218554108131477
"TWFE",-2,0.0261547947946842,0.256963772004717
"TWFE",-1,0,0
"TWFE",0,-0.474883678431447,0.231656606586491
"TWFE",1,-0.193740670413004,0.251868036961952
"TWFE",2,0.124575162959703,0.274597801728607
"TWFE",3,-0.292268884919731,0.231095845149312
"TWFE",4,-0.149944775593396,0.29202571627895
"TWFE",5,-0.0237140783118974,0.157720560013408
"CS-NT",-6,0.641489051214849,0.461117042263677
"CS-NT",-5,-0.447348516865425,0.687662364654821
"CS-NT",-4,-0.134564275701625,0.539592634516387
"CS-NT",-3,-0.634146325192003,0.476344196923285
"CS-NT",-2,0.61584736208869,0.468523083092794
"CS-NT",-1,0,NA
"CS-NT",0,-0.167696379998268,0.451104457539442
"CS-NT",1,0.343426493054406,0.53545369940049
"CS-NT",2,0.245152832098654,0.461899266317993
"CS-NT",3,-0.445425852976919,0.534144488922997
"CS-NT",4,0.104776684219228,0.569952251493358
"CS-NT",5,0.676959962856256,0.495092678145897
"CS-NYT",-6,0.738636705167834,0.411513471394237
"CS-NYT",-5,-0.0403721444506933,0.645383682547839
"CS-NYT",-4,-0.0608174619824628,0.492158777792961
"CS-NYT",-3,-0.456686766558715,0.363230516523841
"CS-NYT",-2,0.296230229741848,0.392024913128139
"CS-NYT",-1,0,NA
"CS-NYT",0,-0.321319826777153,0.427058961623562
"CS-NYT",1,0.0703678917088324,0.492902798914945
"CS-NYT",2,0.147878909558672,0.383250676280895
"CS-NYT",3,-0.164445849999484,0.37779348638013
"CS-NYT",4,0.0819526577106087,0.372711531702073
"CS-NYT",5,0.507560252446929,0.366848823335184
"SA",-6,0.619283362449236,0.460838681315996
"SA",-5,-0.576320735645692,0.485962846111606
"SA",-4,-0.141490071940259,0.46252147000105
"SA",-3,-0.650420505197252,0.434241566096744
"SA",-2,0.58545044531782,0.472909406385253
"SA",0,-0.236350537210503,0.451908391611218
"SA",1,0.243564080736767,0.474065660976852
"SA",2,0.052662812613825,0.488516691492598
"SA",3,-0.427412841454155,0.503459683277109
"SA",4,0.102393682650866,0.512764686007564
"SA",5,0.651235916115117,0.465248402483565
"Gardner",-6,0.00480669477244899,0.00527980418617216
"Gardner",-5,-0.0305651388669071,0.180871308123554
"Gardner",-4,-0.0956800678401249,0.135166884670184
"Gardner",-3,-0.291225530965642,0.167807268231627
"Gardner",-2,0.149317029692966,0.143988199661019
"Gardner",0,-0.314218616086535,0.239059958802714
"Gardner",1,0.0671297572804628,0.193339893477744
"Gardner",2,0.169674760168056,0.358172358337041
"Gardner",3,-0.145505389784103,0.199271348808448
"Gardner",4,0.096346376809185,0.32473161862596
"Gardner",5,-0.0204124186996948,0.0978117176791758
